benchmark,geth-evm,evmone-baseline,evmone-advanced
ADD_b0, 12.693, 7.8180000000000005, 5.952
ADD_b1, 12.618, 7.675000000000001, 5.724
ADDRESS_a0, 20.396, 7.466, 5.708
ADDRESS_a1, 19.696, 7.458, 5.705
AND_b0, 12.572, 5.976999999999999, 5.367
AND_b1, 12.596, 5.96, 5.293
BYTE_b0, 13.562, 7.601, 6.2139999999999995
BYTE_b1, 13.439, 7.372, 5.756
CALLDATASIZE_a0, 12.989, 5.845000000000001, 5.162
CALLDATASIZE_a1, 12.704, 5.851, 5.151
CALLER_a0, 15.069, 7.204000000000001, 5.952
CALLER_a1, 14.94, 7.343, 5.78
CALLVALUE_a0, 14.09, 6.985, 5.5329999999999995
CALLVALUE_a1, 14.121, 7.1370000000000005, 5.524
CODESIZE_a0, 12.991000000000001, 5.84, 5.194
CODESIZE_a1, 13.119, 6.037, 5.164000000000001
DUP10_d0, 13.03, 5.813, 5.126
DUP10_d1, 12.827, 5.803, 5.113
DUP11_d0, 12.665, 5.713, 5.127
DUP11_d1, 12.56, 5.832999999999999, 5.0969999999999995
DUP12_d0, 12.619, 5.724, 5.074000000000001
DUP12_d1, 12.458, 5.627, 5.104
DUP13_d0, 13.215, 5.787999999999999, 5.073
DUP13_d1, 12.908, 5.795, 5.099
DUP14_d0, 13.248, 5.852, 5.129
DUP14_d1, 13.096, 5.852, 5.093
DUP15_d0, 13.872, 5.792000000000001, 5.112
DUP15_d1, 12.836, 5.795, 5.104
DUP16_d0, 13.379999999999999, 5.819999999999999, 5.125
DUP16_d1, 13.071, 5.825, 5.1370000000000005
DUP1_d0, 12.873000000000001, 5.9959999999999996, 5.104
DUP1_d1, 13.359, 5.936, 5.107
DUP2_d0, 12.603, 5.809, 5.132000000000001
DUP2_d1, 12.690999999999999, 5.816, 5.098
DUP3_d0, 12.497, 5.805000000000001, 4.994
DUP3_d1, 12.437, 5.827, 5.112
DUP4_d0, 12.513, 5.53, 5.13
DUP4_d1, 12.592, 5.503, 5.096
DUP5_d0, 12.463000000000001, 5.866, 5.154
DUP5_d1, 12.462000000000002, 5.79, 4.978
DUP6_d0, 12.466, 5.799, 5.114999999999999
DUP6_d1, 12.487, 5.8, 5.117
DUP7_d0, 12.467, 5.8549999999999995, 5.128
DUP7_d1, 12.539, 5.853, 5.144
DUP8_d0, 12.453000000000001, 5.789, 5.128
DUP8_d1, 12.539, 5.795, 5.101
DUP9_d0, 12.465, 5.859, 5.124
DUP9_d1, 12.591, 5.8580000000000005, 5.096
EQ_b0, 12.682, 5.9350000000000005, 5.568
EQ_b1, 12.866000000000001, 6.0, 5.51
GAS_a0, 13.381, 5.639, 5.2139999999999995
GAS_a1, 12.642000000000001, 5.746, 5.668
GT_b0, 12.748000000000001, 6.571, 5.936
GT_b1, 12.579, 6.42, 6.128
ISZERO_u0, 12.183, 5.782, 5.436
JUMPDEST_n0, 11.518, 5.844, 5.563000000000001
LT_b0, 12.860999999999999, 5.933, 5.799
LT_b1, 12.876999999999999, 5.97, 5.845000000000001
MSIZE_a0, 12.872, 6.103, 5.133
MSIZE_a1, 12.745, 5.973, 5.2490000000000006
MUL_b0, 13.991, 8.659, 6.6160000000000005
MUL_b1, 13.933, 8.609, 6.237
NOT_u0, 12.089, 6.048, 5.756
OR_b0, 12.600999999999999, 6.109, 5.326
OR_b1, 12.633000000000001, 6.104, 5.442
PC_a0, 12.675, 5.87, 5.083
PC_a1, 12.687000000000001, 5.845999999999999, 5.181
PUSH10_p0, 15.109, 6.071, 4.96
PUSH10_p1, 14.834999999999999, 6.965, 5.129
PUSH11_p0, 15.214, 6.54, 5.405
PUSH11_p1, 15.084, 6.365, 5.3629999999999995
PUSH12_p0, 15.189, 6.348000000000001, 5.231999999999999
PUSH12_p1, 15.136000000000001, 6.843, 5.547
PUSH13_p0, 14.979, 6.4510000000000005, 5.2620000000000005
PUSH13_p1, 15.094, 6.341, 5.218
PUSH14_p0, 14.994, 5.999, 5.2620000000000005
PUSH14_p1, 15.074, 6.316000000000001, 5.254
PUSH15_p0, 15.219999999999999, 6.657, 5.054
PUSH15_p1, 15.257, 6.286, 5.085
PUSH16_p0, 14.94, 5.976999999999999, 5.144
PUSH16_p1, 14.796, 5.916, 5.1339999999999995
PUSH17_p0, 14.87, 6.275, 5.106
PUSH17_p1, 14.964, 6.244000000000001, 5.159000000000001
PUSH18_p0, 14.984, 6.679, 5.004
PUSH18_p1, 14.865, 6.843, 5.12
PUSH19_p0, 15.649, 6.405, 5.144
PUSH19_p1, 15.193999999999999, 6.502, 5.198
PUSH1_p0, 12.685, 6.044, 5.2589999999999995
PUSH1_p1, 12.697999999999999, 6.0809999999999995, 5.2090000000000005
PUSH20_p0, 14.949, 7.562, 5.105
PUSH20_p1, 14.85, 7.418, 5.155
PUSH21_p0, 14.994, 6.194, 5.072
PUSH21_p1, 15.895, 6.36, 5.093
PUSH22_p0, 15.716000000000001, 6.122, 5.046
PUSH22_p1, 15.283, 6.286, 5.1370000000000005
PUSH23_p0, 15.437, 6.445, 5.118
PUSH23_p1, 15.525, 6.462, 5.066
PUSH24_p0, 15.249, 5.842, 5.114999999999999
PUSH24_p1, 15.215, 5.914, 5.07
PUSH25_p0, 15.512, 6.3420000000000005, 5.114
PUSH25_p1, 16.1, 6.762, 5.044
PUSH26_p0, 15.491, 6.149, 5.126
PUSH26_p1, 15.622, 6.2, 5.146000000000001
PUSH27_p0, 15.495999999999999, 6.231000000000001, 5.1659999999999995
PUSH27_p1, 15.415999999999999, 6.357, 5.156
PUSH28_p0, 16.348000000000003, 6.184, 5.157
PUSH28_p1, 15.247, 6.225, 5.148
PUSH29_p0, 15.239, 6.603999999999999, 5.181
PUSH29_p1, 15.312, 6.715999999999999, 5.403
PUSH2_p0, 15.838000000000001, 5.842, 5.004
PUSH2_p1, 16.145, 5.825, 5.21
PUSH30_p0, 17.51, 6.872, 5.173
PUSH30_p1, 16.852, 6.62, 5.208
PUSH31_p0, 15.709999999999999, 6.801, 5.2
PUSH31_p1, 15.943, 7.153, 5.117
PUSH32_p0, 15.458, 6.962000000000001, 5.021
PUSH32_p1, 15.64, 6.9319999999999995, 5.136
PUSH3_p0, 14.328999999999999, 5.927, 5.23
PUSH3_p1, 14.166, 6.0889999999999995, 5.19
PUSH4_p0, 14.248000000000001, 5.974, 5.203
PUSH4_p1, 15.280999999999999, 6.012, 5.195
PUSH5_p0, 14.338, 5.952, 5.1770000000000005
PUSH5_p1, 14.142999999999999, 6.123, 5.056
PUSH6_p0, 14.652999999999999, 6.42, 5.361999999999999
PUSH6_p1, 14.978, 6.154, 5.3229999999999995
PUSH7_p0, 16.142, 6.5760000000000005, 5.442
PUSH7_p1, 16.119, 6.607, 5.287
PUSH8_p0, 15.386000000000001, 6.321000000000001, 5.734
PUSH8_p1, 14.907, 6.132000000000001, 5.261
PUSH9_p0, 16.521, 6.372, 5.224
PUSH9_p1, 15.202, 6.747999999999999, 5.144
RETURNDATASIZE_a0, 12.818, 6.044, 5.235
RETURNDATASIZE_a1, 12.547, 6.139, 5.6290000000000004
SAR_b0, 13.145999999999999, 7.17, 5.757
SAR_b1, 13.808000000000002, 7.178999999999999, 5.767
SGT_b0, 14.392999999999999, 6.292, 5.944
SGT_b1, 14.764, 5.989999999999999, 5.623
SHL_b0, 14.039, 7.887999999999999, 6.195
SHL_b1, 14.638, 7.066, 5.894
SHR_b0, 14.486, 7.966000000000001, 6.553
SHR_b1, 13.192, 7.182, 5.91
SIGNEXTEND_b0, 13.699, 6.741, 5.343
SIGNEXTEND_b1, 13.381, 6.732, 5.303999999999999
SLT_b0, 16.025000000000002, 7.737, 6.182
SLT_b1, 14.925, 6.955, 5.791
SUB_b0, 13.037999999999998, 5.984999999999999, 5.747000000000001
SUB_b1, 12.841999999999999, 6.002000000000001, 5.734999999999999
SWAP10_s0, 12.606, 5.91, 5.737
SWAP11_s0, 12.603, 5.78, 5.757
SWAP12_s0, 12.632000000000001, 5.801, 5.803
SWAP13_s0, 12.789, 5.827999999999999, 5.77
SWAP14_s0, 12.82, 5.962000000000001, 5.77
SWAP15_s0, 12.678999999999998, 5.947, 5.774
SWAP16_s0, 12.812000000000001, 5.992, 5.7749999999999995
SWAP1_s0, 12.824, 6.311, 5.592
SWAP2_s0, 13.77, 6.021, 5.607
SWAP3_s0, 13.035, 6.672, 5.5729999999999995
SWAP4_s0, 12.844, 5.861, 5.590000000000001
SWAP5_s0, 12.889, 5.702999999999999, 5.649
SWAP6_s0, 12.972, 5.908, 5.767
SWAP7_s0, 13.457, 5.909, 5.738
SWAP8_s0, 14.291, 5.927, 5.791
SWAP9_s0, 14.4, 5.933, 5.719
XOR_b0, 13.348, 6.0600000000000005, 5.468
XOR_b1, 13.001999999999999, 6.1339999999999995, 5.436
